Participant,RecordedDate,ResponseId,memory_description,fictional_title,memory_label,type_of_fiction,type_of_fiction_text,times_watched,first_occured_time,first_occured_age,watched_most_recently_,times_watched,AMQ_Rehersal,AMQ_see,AMQ_hear,AMQ_Accuracy,AMQ_Live,AMQ_Strength,AMQ_Positivity,AMQ_Negativity,AMQ_Intensity,AMQ_Perspective,AMQ_Perspective_TEXT,AMQ_Switch,TALE_1,TALE_2,TALE_3,TALE_4,TALE_5,TALE_6,CES_1,CES_2,CES_3,CES_4,Thinkback_fiction,Talk_fiction,Like_reading,Often_read,Like_watching_movies,Often_watch_movies,Like_TVshows,Often_Watch_TV,Like_videogames,Often_videogames,Age,Gender,Gender_4_TEXT,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Race_7,Race_7_TEXT,Ethnicity,Education_Level,Education_Level_7_TEXT,First_Language,First_Language_3_TEXT,Data_Agree_1,Data_Agree_2,Data_Agree_3,Data_Agree_4,Data_Agree_5,Responses_being_used,Distracted,Spent_time,Spent_time_3_TEXT,Confusing,id,memory_type,order,rehearsed_condition
1,2023-11-22 13:47:15,R_78JTpCQpUscf9kZ,It was my high school graduation. I was serving as the senior class vice president who had the job of telling everyone to move their rope over their cap. I never got to practice for it so I went out their in front of everyone and their families and was given the opportunity to do so. I also graduated myself and being there with my parents was an ecstatic feeling.,NA,High School Graduation,"NA	",NA,NA,6,18,NA,NA,5,7,6,7,6,5,6,3,5,3,,1,2,4,1,5,2,4,3,2,3,2,5,5,4,2,4,4,3,3,4,3,19,1,0,1,,,,,,,,2,7,2026,1,,1,1,1,1,1,1,1,2,,N/A,91054,personal,rehearse_first,1
1,2023-11-22 13:47:15,R_78JTpCQpUscf9kZ,"Over the summer after high school, I was feeling down and without purpose. Maybe it was the thought that I was leaving my parents and going to college. I do not really know. The fact that one chapter of my life was over and another anew. I was pretty depressed. I would lay in bed every night and just listen to sad music and just tear up.",NA,Post Grad Sorrow,NA,NA,NA,6,18,NA,NA,1,5,6,8,5,4,4,4,6,2,,2,3,3,1,4,4,3,3,4,2,4,5,5,4,2,4,4,3,3,4,3,19,1,0,1,,,,,,,,2,7,2026,1,,1,1,1,1,1,1,1,2,,N/A,91054,personal,rehearse_first,0
2,2023-11-22 14:50:40,R_22x0KnwPQfDsONn,"I was accepted to Duke through regular decision. My friends and I were driving down to Florida, and the results came out during the drive. I couldn't check because I was the driver, so I checked around six hours later when we stopped at Zaxby's. It was very exciting, and I called my parents who were driving in a different car. ",NA,Acceptance to Duke,NA,NA,NA,5,18,NA,NA,4,5,4,3,3,3,7,1,5,1,,1,3,4,1,4,1,3,4,2,4,3,6,5,4,3,4,3,4,4,5,5,19,1,,,,,,1,,,,2,7,Freshman,1,,1,1,1,1,1,1,1,1,,,91096,personal,rehearse_first,1
2,2023-11-22 14:50:40,R_22x0KnwPQfDsONn,"I am taking the AP Physics 1 exam in one of my school buildings, It is me, my three classmates, and the proctor, who happens to be one of my school's counselors. I am very stressed, but I feel prepared.",NA,AP PHysics 1 Exam,NA,NA,NA,5,18,NA,NA,1,3,1,5,2,2,2,2,1,3,,2,1,3,1,1,1,1,1,1,1,1,6,5,4,3,4,3,4,4,5,5,19,1,,,,,,1,,,,2,7,Freshman,1,,1,1,1,1,1,1,1,1,,,91096,personal,rehearse_first,0
3,2023-11-22 17:39:30,R_3qlFj1sJBiEZh6l,Me collecting money through graphic designing over Covid-19 and getting enough money to buy a plane ticket to go to Egypt to pursue a research project since I couldn't do that in Saudi given the country's foreign policies for expatriate residents,NA,Egypt graphic design grind for research,NA,NA,NA,6,16,NA,NA,5,5,5,6,6,7,6,5,7,1,,1,4,4,1,5,3,5,5,5,5,4,2,2,1,1,3,2,1,1,3,3,18,1,,,,,,1,,1,North African,2,7,Freshman,3,Arabic,1,1,1,1,1,1,2,1,,,91624,personal,rehearse_first,1
3,2023-11-22 17:39:31,R_3qlFj1sJBiEZh6l,That one time I may have fell from the balcony in Egypt. I don't see anyone in my family talking about it but I believe that it has happened.,NA,Falling from the first floor balcony in Egypt,NA,NA,NA,8,8,NA,NA,2,5,3,5,7,3,2,5,4,3,,1,3,3,1,2,2,3,1,2,1,3,2,2,1,1,3,2,1,1,3,3,18,1,,,,,,1,,1,North African,2,7,Freshman,3,Arabic,1,1,1,1,1,1,2,1,,,91624,personal,rehearse_first,0
4,2023-11-30 12:47:18,R_2EGzPLQBqYhuh0d,"When I was 17, I attended a fencing tournament in Paris. The most vivid memories where mainly involving the stadium we competed in and its atmosphere. The stadium was huge, much larger than any place I have fenced in before and when the competitors, including me, were fencing, they would shut the lights off on the bleachers and shine them only on us. I remember this very well because it made me feel as if we were on TV or on display, and it made me fence much harder and filled me with pride.",NA,Paris.,NA,NA,NA,6,17,NA,NA,5,6,6,7,5,5,5,3,5,3,,1,4,4,1,4,2,4,4,4,4,4,5,6,4,3,3,3,4,3,3,3,18,1,,,1,,,,,,,,7,Freshman,1,,2,2,2,2,2,1,1,1,,No.,91573,personal,rehearse_first,1
4,2023-11-30 12:47:19,R_2EGzPLQBqYhuh0d,"A few months after I got my license, I was rushing to the gym and parked very quickly so I could get inside and get started. I am normally a fine driver but since I was in such a rush, I accidentally scratched a car while I was parking. I remember my heart dropping and being very nervous as this was my first experience getting into a ""crash""(although not really a crash) and was unsure what to do. I waited for the owner of the car to come out and explained to them what happened. She was annoyed but was not rude in any way. She was in a hurry to pick her son up so we exchanged information and she left. ",NA,YMCA fender bender.,NA,NA,NA,5,17,NA,NA,2,5,2,6,4,4,1,5,4,1,,2,2,1,1,2,2,3,2,2,1,3,5,6,4,3,3,3,4,3,3,3,18,1,,,1,,,,,,,,7,Freshman,1,,2,2,2,2,2,1,1,1,,No.,91573,personal,rehearse_first,0
5,2023-11-21 21:54:25,R_3PuhtBvQmI9A17y,"This one time at night, I was going to my parents' room to tell them something and I left and approached the kitchen. The second I was about halfway into the kitchen and almost to my room I felt something to my left side and I saw something move. I remember the left side of my body being cold and I got goosebumps. I didn't turn around and I ran to my room. ",NA,ghost?,NA,NA,NA,6,16,NA,NA,5,7,5,7,6,4,1,3,4,1,,2,1,1,1,1,1,1,1,1,1,1,4,5,1,2,3,2,4,4,2,3,20,1,,,,,,,1,,,1,7,2025,1,,1,1,1,1,1,1,1,1,,,91324,personal,rehearse_second,1
5,2023-11-21 21:54:25,R_3PuhtBvQmI9A17y,"A scene that came to mind was when I lived in my old apartment a few years back. I was young and I remember showering in the bath and all of a sudden, an earthquake occurred. I remember being scared and yelling for my mom because it was the first earthquake I ever experienced.",NA,earthquake,NA,NA,NA,8,6,NA,NA,2,6,3,7,5,3,1,6,2,2,,1,1,1,1,1,1,1,1,1,1,1,4,5,1,2,3,2,4,4,2,3,20,1,,,,,,,1,,,1,7,2025,1,,1,1,1,1,1,1,1,1,,,91324,personal,rehearse_second,0
